Description	Target	Measure	E11	E10	E01
["""col_729""" = 1]	[Target]	0.0	0.0	1120.0	0.0
["""col_1125""" = 0]	[Target]	0.0	0.0	1076.0	0.0
["""col_510""" = 1], ["""col_757""" = 1], ["""col_1919""" = 0], ["""col_1967""" = 3]	[Target]	0.0	0.0	14.0	0.0
["""col_828""" = 2]	[Target]	0.0	0.0	1091.0	0.0
["""col_1633""" = 1]	[Target]	0.0	0.0	1167.0	0.0
["""col_890""" = 4]	[Target]	0.0	0.0	1118.0	0.0
["""col_1330""" = 0]	[Target]	0.0	0.0	1062.0	0.0
["""col_1550""" = 0]	[Target]	0.0	0.0	1124.0	0.0
["""col_512""" = 4]	[Target]	0.0	0.0	1110.0	0.0
["""col_137""" = 2], ["""col_867""" = 2], ["""col_1975""" = 4]	[Target]	0.0	0.0	43.0	0.0
["""col_173""" = 4]	[Target]	0.0	0.0	1132.0	0.0
["""col_1994""" = 1]	[Target]	0.0	0.0	1083.0	0.0
["""col_836""" = 2]	[Target]	0.0	0.0	1142.0	0.0
["""col_1416""" = 1]	[Target]	0.0	0.0	1125.0	0.0
["""col_150""" = 1], ["""col_1507""" = 0], ["""col_1924""" = 4]	[Target]	0.0	0.0	42.0	0.0
["""col_938""" = 1]	[Target]	0.0	0.0	1177.0	0.0
["""col_930""" = 3], ["""col_1661""" = 1]	[Target]	0.0	0.0	251.0	0.0
["""col_780""" = 1]	[Target]	0.0	0.0	1101.0	0.0
["""col_1422""" = 0]	[Target]	0.0	0.0	1113.0	0.0
["""col_1227""" = 2]	[Target]	0.0	0.0	1151.0	0.0
["""col_172""" = 2], ["""col_1248""" = 1], ["""col_1704""" = 0]	[Target]	0.0	0.0	49.0	0.0
["""col_1582""" = 2]	[Target]	0.0	0.0	1135.0	0.0
["""col_29""" = 0]	[Target]	0.0	0.0	1112.0	0.0
["""col_600""" = 2], ["""col_1617""" = 4], ["""col_1819""" = 0]	[Target]	0.0	0.0	45.0	0.0
["""col_741""" = 2], ["""col_1557""" = 0]	[Target]	0.0	0.0	219.0	0.0
["""col_1793""" = 1], ["""col_1856""" = 0]	[Target]	0.0	0.0	227.0	0.0
["""col_1725""" = 2]	[Target]	0.0	0.0	1097.0	0.0
["""col_1270""" = 3]	[Target]	0.0	0.0	1170.0	0.0
["""col_951""" = 1], ["""col_1606""" = 3]	[Target]	0.0	0.0	230.0	0.0
["""col_536""" = 3]	[Target]	0.0	0.0	1094.0	0.0
["""col_952""" = 2]	[Target]	0.0	0.0	1065.0	0.0
["""col_920""" = 2]	[Target]	0.0	0.0	1091.0	0.0
["""col_1986""" = 0]	[Target]	0.0	0.0	1100.0	0.0
["""col_1316""" = 0]	[Target]	0.0	0.0	1103.0	0.0
["""col_51""" = 2], ["""col_629""" = 4], ["""col_801""" = 0], ["""col_1027""" = 2]	[Target]	0.0	0.0	17.0	0.0
["""col_1731""" = 2]	[Target]	0.0	0.0	1091.0	0.0
["""col_120""" = 3], ["""col_1482""" = 2], ["""col_1791""" = 4]	[Target]	0.0	0.0	38.0	0.0
["""col_1722""" = 1]	[Target]	0.0	0.0	1151.0	0.0
["""col_518""" = 0]	[Target]	0.0	0.0	1190.0	0.0
["""col_87""" = 1], ["""col_1392""" = 2], ["""col_1560""" = 2]	[Target]	0.0	0.0	46.0	0.0
["""col_1588""" = 0]	[Target]	0.0	0.0	1100.0	0.0
["""col_303""" = 0]	[Target]	0.0	0.0	1077.0	0.0
["""col_752""" = 0], ["""col_845""" = 1]	[Target]	0.0	0.0	243.0	0.0
["""col_877""" = 3], ["""col_1583""" = 1], ["""col_1929""" = 2]	[Target]	0.0	0.0	44.0	0.0
["""col_1154""" = 4], ["""col_1400""" = 0], ["""col_1552""" = 0]	[Target]	0.0	0.0	42.0	0.0
["""col_304""" = 2], ["""col_396""" = 2], ["""col_594""" = 0], ["""col_1629""" = 3]	[Target]	0.0	0.0	13.0	0.0
["""col_131""" = 1]	[Target]	0.0	0.0	1127.0	0.0
["""col_1016""" = 0], ["""col_1658""" = 2]	[Target]	0.0	0.0	258.0	0.0
["""col_267""" = 2], ["""col_317""" = 3], ["""col_471""" = 4]	[Target]	0.0	0.0	40.0	0.0
["""col_1415""" = 4]	[Target]	0.0	0.0	1112.0	0.0
