#iterations	mean Measure
1	0.0
501	0.25123095179889404
1001	0.23930464614371774
1501	0.24932105366829754
2001	0.344589432015248
2501	0.2959430006266262
2501	0.2959430006266262
3001	0.24664381678077832
3501	0.28586293575667454
4001	0.25574238346735884
4001	0.25574238346735884
4001	0.25574238346735884
4501	0.2799758641043166
5001	0.25814289027893933
5001	0.25814289027893933
5501	0.27393665210585577
6001	0.2552294643746869
6501	0.2676567835158761
6501	0.2676567835158761
7001	0.25609437484711844
7501	0.2621641279437294
8001	0.2659781401243205
8501	0.25571767283709185
9001	0.26279605686450724
9501	0.26149266144570654
10001	0.2585690375948311
10501	0.26287635391539577
11001	0.2580882202980157
11501	0.25880568055684283
12001	0.26204683556907954
12501	0.2596391644563486
13001	0.25765854305321445
13501	0.26047705965989465
14001	0.2613000256383093
14501	0.2617180749683885
15001	0.26295672387124924
15001	0.26295672387124924
15001	0.26295672387124924
15001	0.26295672387124924
15001	0.26295672387124924
15501	0.26182509508063306
16001	0.25875425170960026
16501	0.2589847983009097
17001	0.2600166400968931
17501	0.26042241123666215
18001	0.2601955783348534
18501	0.2594315303366835
18501	0.2594315303366835
18501	0.2594315303366835
18501	0.2594315303366835
18501	0.2594315303366835
19001	0.25931956619195684
19501	0.25954314920311117
20001	0.2589525803934995
20501	0.25833347571072707
21001	0.2576933887343324
21501	0.25706116704997534
22001	0.2554521674500599
22501	0.2564958417434497
22501	0.2564958417434497
23001	0.2565566502025164
23501	0.25592693503023495
24001	0.2555280030464894
24501	0.2550332196109662
25001	0.2544691500488433
25501	0.25397916824878963
26001	0.25336359897815386
26501	0.252932878342762
27001	0.25334179185576666
27501	0.25328125144294317
28001	0.2526720178175053
28501	0.2519145297018604
29001	0.251307301722383
29501	0.2508191570400239
30001	0.2511972279315835
30501	0.25052908552448516
31001	0.24990223153816338
31501	0.2504109451846033
31501	0.2504109451846033
31501	0.2504109451846033
31501	0.2504109451846033
31501	0.2504109451846033
32001	0.24975579356182165
32501	0.24917933611286938
33001	0.24922920360483944
33501	0.24872317784290973
33501	0.24872317784290973
33501	0.24872317784290973
