quality,subgroup,size_sg,size_dataset,positives_sg,positives_dataset,size_complement,relative_size_sg,relative_size_complement,coverage_sg,coverage_complement,target_share_sg,target_share_complement,target_share_dataset,lift
5352.365994289576,2014=='0' AND 3355=='0' AND 633=='0',19173,22470,4082,6880,3297,0.8532710280373832,0.14672897196261683,0.5933139534883721,0.40668604651162793,0.21290356230115265,0.848650288140734,0.30618602581219406,0.695340558852747
5286.026383823605,2317=='0' AND 3355=='0' AND 633=='0',19651,22470,4353,6880,2819,0.8745438362260792,0.12545616377392077,0.632703488372093,0.367296511627907,0.22151544450664087,0.8964171692089393,0.30618602581219406,0.7234668659977064
5253.171971001294,3355=='0' AND 633=='0' AND 640=='0',19665,22470,4366,6880,2805,0.8751668891855807,0.12483311081441922,0.6345930232558139,0.36540697674418604,0.2220188151538266,0.8962566844919786,0.30618602581219406,0.7251108686782679
5237.687446119644,1874=='0' AND 3355=='0' AND 633=='0',19666,22470,4369,6880,2804,0.8752113929684023,0.12478860703159769,0.6350290697674419,0.36497093023255817,0.2221600732228211,0.895506419400856,0.30618602581219406,0.7255722158890683
5221.8740113909535,2175=='0' AND 3355=='0' AND 633=='0',19683,22470,4381,6880,2787,0.8759679572763684,0.12403204272363151,0.6367732558139535,0.3632267441860465,0.22257785906619926,0.8966630785791173,0.30618602581219406,0.7269366995955664
5196.734397663058,1145=='0' AND 3355=='0' AND 633=='0',19692,22470,4390,6880,2778,0.8763684913217623,0.12363150867823765,0.6380813953488372,0.36191860465116277,0.22293317083079423,0.896328293736501,0.30618602581219406,0.7280971436872015
5193.242270107188,3355=='0' AND 633=='0' AND 979=='0',19716,22470,4404,6880,2754,0.8774365821094793,0.12256341789052069,0.6401162790697674,0.3598837209302326,0.22337188070602557,0.8990559186637618,0.30618602581219406,0.7295299650384294
5187.400052138193,3355=='0' AND 348=='0' AND 633=='0',19684,22470,4387,6880,2786,0.8760124610591901,0.12398753894080997,0.6376453488372092,0.3623546511627907,0.22287136760820972,0.8948312993539124,0.30618602581219406,0.7278952950808826
5176.445136672748,2960=='0' AND 3355=='0' AND 633=='0',19697,22470,4396,6880,2773,0.87659101023587,0.12340898976412995,0.638953488372093,0.36104651162790696,0.22318119510585369,0.8957807428777498,0.30618602581219406,0.7289071880855424
5170.347642422001,3355=='0' AND 4512=='0' AND 633=='0',19706,22470,4402,6880,2764,0.8769915442812639,0.12300845571873609,0.6398255813953488,0.36017441860465116,0.2233837409925911,0.8965267727930536,0.30618602581219406,0.7295687005964421
5157.035447884864,2371=='0' AND 3355=='0' AND 633=='0',19670,22470,4384,6880,2800,0.8753894080996885,0.12461059190031153,0.6372093023255814,0.3627906976744186,0.22287747839349262,0.8914285714285715,0.30618602581219406,0.7279152528345608
5143.533402737453,2837=='0' AND 3355=='0' AND 633=='0',19702,22470,4404,6880,2768,0.8768135291499778,0.12318647085002225,0.6401162790697674,0.3598837209302326,0.22353060602984468,0.8945086705202312,0.30618602581219406,0.7300483601003793
5141.4946060416805,3355=='0' AND 633=='0' AND 698=='0',19705,22470,4406,6880,2765,0.8769470404984424,0.12305295950155763,0.640406976744186,0.35959302325581394,0.22359807155544278,0.894755877034358,0.30618602581219406,0.7302687017224998
5141.397888043399,2746=='0' AND 3355=='0' AND 633=='0',19746,22470,4429,6880,2724,0.8787716955941255,0.1212283044058745,0.64375,0.35625,0.22429859211992303,0.8997797356828194,0.30618602581219406,0.7325565937405044
5124.041721126136,3355=='0' AND 633=='0' AND 831=='0',19709,22470,4411,6880,2761,0.8771250556297285,0.12287494437027148,0.6411337209302326,0.3588662790697674,0.2238063828707697,0.8942412169503803,0.30618602581219406,0.7309490440561329
5108.101628774493,2859=='0' AND 3355=='0' AND 633=='0',19742,22470,4432,6880,2728,0.8785936804628394,0.12140631953716066,0.6441860465116279,0.3558139534883721,0.22449599837909026,0.8973607038123167,0.30618602581219406,0.7332013202875229
5098.456949756179,3355=='0' AND 3833=='0' AND 633=='0',19766,22470,4447,6880,2704,0.8796617712505563,0.12033822874944371,0.6463662790697674,0.35363372093023254,0.22498229282606497,0.8997781065088757,0.30618602581219406,0.7347895522967557
5090.117892635009,2720=='0' AND 3355=='0' AND 633=='0',19769,22470,4450,6880,2701,0.879795282599021,0.12020471740097909,0.6468023255813954,0.35319767441860467,0.22509990388992868,0.899666790077749,0.30618602581219406,0.7351736686637641
5089.412234449022,2782=='0' AND 3355=='0' AND 633=='0',19751,22470,4440,6880,2719,0.8789942145082332,0.1210057854917668,0.6453488372093024,0.3546511627906977,0.2247987443673738,0.8973887458624494,0.30618602581219406,0.7341900851649548
5079.0036444958805,1590=='0' AND 3355=='0' AND 633=='0',19773,22470,4454,6880,2697,0.8799732977303071,0.12002670226969292,0.6473837209302326,0.35261627906976745,0.22525666312648562,0.8995179829440119,0.30618602581219406,0.7356856425075773
