quality,subgroup,size_sg,size_dataset,positives_sg,positives_dataset,size_complement,relative_size_sg,relative_size_complement,coverage_sg,coverage_complement,target_share_sg,target_share_complement,target_share_dataset,lift
0.07373375646587278,2032=='0' AND 4641=='0' AND 4686=='0',16667,22470,6760,6880,5803,0.7417445482866044,0.25825545171339565,0.9825581395348837,0.01744186046511628,0.40559188816223674,0.02067895915905566,0.30618602581219406,1.324658390553119
0.07291832912161572,2032=='0' AND 4578=='0' AND 4641=='0',16606,22470,6723,6880,5864,0.7390298175344905,0.26097018246550957,0.9771802325581396,0.022819767441860466,0.4048536673491509,0.026773533424283767,0.30618602581219406,1.3222473699615436
0.07248636316552416,2032=='0' AND 4605=='0' AND 4641=='0',16801,22470,6773,6880,5669,0.7477080551846907,0.2522919448153093,0.9844476744186047,0.015552325581395349,0.4031307660258318,0.018874581054859764,0.30618602581219406,1.3166203942733197
0.07134508969978068,2032=='0' AND 4641=='0' AND 803=='0',16986,22470,6804,6880,5484,0.7559412550066755,0.24405874499332444,0.9889534883720931,0.011046511627906977,0.40056517131755565,0.013858497447118891,0.30618602581219406,1.3082411917885863
0.07067143275046646,2032=='0' AND 4641=='0' AND 4650=='0',16895,22470,6761,6880,5575,0.7518914107699154,0.24810858923008455,0.982703488372093,0.017296511627906977,0.4001775673276117,0.021345291479820627,0.30618602581219406,1.3069752816644526
0.07058008809253459,2032=='0' AND 4578=='0' AND 4650=='0',16758,22470,6717,6880,5712,0.7457943925233644,0.2542056074766355,0.9763081395348837,0.023691860465116277,0.4008234872896527,0.02853641456582633,0.30618602581219406,1.3090848487497815
0.07046368901303203,2032=='0' AND 4578=='0' AND 4605=='0',16809,22470,6730,6880,5661,0.748064085447263,0.251935914552737,0.9781976744186046,0.02180232558139535,0.4003807484085906,0.026497085320614733,0.30618602581219406,1.307638868712359
0.06996125378267298,2032=='0' AND 4578=='0' AND 4668=='0',16872,22470,6738,6880,5598,0.75086782376502,0.24913217623497996,0.979360465116279,0.02063953488372093,0.3993598862019915,0.02536620221507681,0.30618602581219406,1.3043047446160971
0.06982746515207239,2032=='0' AND 4605=='0' AND 4650=='0',16970,22470,6765,6880,5500,0.7552291944815309,0.24477080551846908,0.9832848837209303,0.016715116279069766,0.3986446670595168,0.02090909090909091,0.30618602581219406,1.3019688472132764
0.0697546587855161,2032=='0' AND 4641=='0' AND 4659=='0',16701,22470,6681,6880,5769,0.7432576769025367,0.2567423230974633,0.9710755813953489,0.028924418604651163,0.4000359259924555,0.03449471312185821,0.30618602581219406,1.3065126827108249
0.06967799027492326,1337=='0' AND 2032=='0' AND 4641=='0',16834,22470,6720,6880,5636,0.7491766800178015,0.2508233199821985,0.9767441860465116,0.023255813953488372,0.3991921112035167,0.028388928317955996,0.30618602581219406,1.3037567934219505
0.06941578040363956,2032=='0' AND 4641=='0' AND 4668=='0',17059,22470,6783,6880,5411,0.7591900311526479,0.24080996884735204,0.9859011627906977,0.014098837209302325,0.39762002462043494,0.017926446128257254,0.30618602581219406,1.298622376921682
0.06908177426500921,2032=='0' AND 4650=='0' AND 4686=='0',16979,22470,6751,6880,5491,0.7556297285269248,0.24437027147307522,0.98125,0.01875,0.3976088108840332,0.023492988526680022,0.30618602581219406,1.2985857529889864
0.06896509790337074,2032=='0' AND 4650=='0' AND 803=='0',17128,22470,6794,6880,5342,0.7622607921673342,0.23773920783266578,0.9875,0.0125,0.39666043904717424,0.016098839385997755,0.30618602581219406,1.2954883815973843
0.06890682904308545,2032=='0' AND 4605=='0' AND 803=='0',17178,22470,6808,6880,5292,0.7644859813084112,0.23551401869158878,0.9895348837209302,0.010465116279069767,0.39632087553847944,0.013605442176870748,0.30618602581219406,1.2943793711264
0.06869918433498533,2032=='0' AND 4641=='0' AND 4677=='0',16736,22470,6668,6880,5734,0.7448153093012906,0.2551846906987094,0.9691860465116279,0.030813953488372094,0.3984225621414914,0.03697244506452738,0.30618602581219406,1.3012434551336207
0.06860379928021515,2032=='0' AND 4587=='0' AND 4641=='0',16743,22470,6668,6880,5727,0.7451268357810414,0.2548731642189586,0.9691860465116279,0.030813953488372094,0.3982559875768978,0.037017635760433036,0.30618602581219406,1.3006994245425716
0.06840205672043759,2032=='0' AND 4668=='0' AND 4686=='0',17104,22470,6774,6880,5366,0.7611927013796173,0.23880729862038275,0.984593023255814,0.015406976744186047,0.39604770813844714,0.01975400670890794,0.30618602581219406,1.2934872095742596
0.06815636494211039,2032=='0' AND 4668=='0' AND 803=='0',17269,22470,6819,6880,5201,0.7685358255451713,0.23146417445482867,0.9911337209302326,0.008866279069767441,0.39486941919045687,0.011728513747356277,0.30618602581219406,1.2896389315711578
0.06808126109499903,2032=='0' AND 4605=='0' AND 4668=='0',17170,22470,6787,6880,5300,0.7641299510458389,0.2358700489541611,0.9864825581395349,0.013517441860465116,0.39528246942341294,0.017547169811320755,0.30618602581219406,1.2909879488290825
