#iterations	mean Measure
1	0.0
501	-0.2852381228348443
1001	-0.27959292461890656
1501	-0.27138227246631436
2001	-0.26355110939565957
2501	-0.25772373671506876
3001	-0.2530861971423523
3501	-0.25368518089407394
4001	-0.2541156971475498
4001	-0.2541156971475498
4001	-0.2541156971475498
4501	-0.2563103724223859
4501	-0.2563103724223859
4501	-0.2563103724223859
5001	-0.2563561465698342
5001	-0.2563561465698342
5501	-0.25698246897524296
6001	-0.2576331980762174
6501	-0.258416095505002
6501	-0.258416095505002
7001	-0.2601408717490522
7501	-0.2601412372475462
8001	-0.26090831354090827
8501	-0.26207111625633406
9001	-0.26346010457737346
9501	-0.2637335233430407
10001	-0.264486185452174
10501	-0.26508857109903355
11001	-0.2657972145179276
11501	-0.26661500041467046
12001	-0.2668689043994309
12501	-0.26728042431792826
13001	-0.26754504401899193
13001	-0.26754504401899193
13501	-0.2678305242663222
14001	-0.2678664463549233
14501	-0.2682155083825958
15001	-0.2685573820873878
15501	-0.26910294170383015
15501	-0.26910294170383015
15501	-0.26910294170383015
16001	-0.26957467604110247
16501	-0.27006351958276803
16501	-0.27006351958276803
17001	-0.2703212294062884
17501	-0.2704628512607831
18001	-0.2703572830486231
18001	-0.2703572830486231
18501	-0.2706476863663608
19001	-0.2709444241548242
19501	-0.2711352871054525
20001	-0.27117382296435644
20501	-0.27115594080610933
21001	-0.2712784328256629
21001	-0.2712784328256629
21001	-0.2712784328256629
21501	-0.2712874009993729
21501	-0.2712874009993729
22001	-0.2717050748505395
22501	-0.27172651646147516
23001	-0.2718895262339794
23001	-0.2718895262339794
23501	-0.27226353850644136
24001	-0.2724292437366701
24501	-0.27256418272834476
25001	-0.27281038410715264
25501	-0.2729872910459825
26001	-0.27300416134067584
26501	-0.27328131425867663
26501	-0.27328131425867663
27001	-0.2735292677778702
27501	-0.27354855329988054
27501	-0.27354855329988054
27501	-0.27354855329988054
27501	-0.27354855329988054
28001	-0.2738981613015769
28501	-0.27406752333800005
29001	-0.2741087743819699
29501	-0.27422316327970697
29501	-0.27422316327970697
30001	-0.2741369033767217
30501	-0.27446566248713716
31001	-0.2747519339692485
31501	-0.2748268007786584
32001	-0.2750111413397694
32501	-0.27504731398065685
33001	-0.27525314230108
33501	-0.27532790484573233
34001	-0.2753228317691659
34501	-0.2754142006954402
35001	-0.27538865553438757
35501	-0.27528182003807866
36001	-0.27534788607247024
36001	-0.27534788607247024
36501	-0.27535096012299515
37001	-0.2753399880517296
37501	-0.27536608421146797
37501	-0.27536608421146797
37501	-0.27536608421146797
37501	-0.27536608421146797
38001	-0.2752707481683696
38501	-0.27518640493068885
39001	-0.27531002635273716
39501	-0.2754623478893202
40001	-0.2753988169261389
40501	-0.2753542033363722
40501	-0.2753542033363722
41001	-0.27549804006062084
41501	-0.2755616762035838
42001	-0.2754275205792355
42501	-0.27538436827405643
42501	-0.27538436827405643
42501	-0.27538436827405643
43001	-0.2753729501476139
43001	-0.2753729501476139
43001	-0.2753729501476139
43001	-0.2753729501476139
43501	-0.2751680675344357
44001	-0.27519933133047236
44001	-0.27519933133047236
44501	-0.2752841706239473
44501	-0.2752841706239473
45001	-0.2752642827334124
45001	-0.2752642827334124
45501	-0.2751294474994822
46001	-0.2752236295092837
46501	-0.2750752315105831
47001	-0.2750168364968463
47501	-0.2750077211851653
47501	-0.2750077211851653
48001	-0.27518182855146667
48501	-0.27516312426441675
49001	-0.2750717527459209
49001	-0.2750717527459209
49501	-0.27516113555607274
50001	-0.27514365456798967
50501	-0.27506398460441367
51001	-0.27516860126068843
51501	-0.27523736117506103
52001	-0.27523645523332296
52501	-0.27524446939962477
53001	-0.2753354318381306
53501	-0.2753194756836914
54001	-0.2753384528712138
54501	-0.27526527001871687
54501	-0.27526527001871687
55001	-0.2752079011184865
55501	-0.2751346931310945
56001	-0.27528055275435637
56501	-0.27531703904389
57001	-0.27538652508791
57501	-0.27531626410754384
58001	-0.27528815696043496
58501	-0.27533914020940936
58501	-0.27533914020940936
58501	-0.27533914020940936
59001	-0.2753182766872091
59001	-0.2753182766872091
59001	-0.2753182766872091
59501	-0.2751652177082449
59501	-0.2751652177082449
60001	-0.27505221791204276
60501	-0.2750651194759112
60501	-0.2750651194759112
60501	-0.2750651194759112
61001	-0.2751054158136396
61501	-0.2749806173244118
61501	-0.2749806173244118
62001	-0.27500769559472554
62501	-0.2748862472993998
63001	-0.274848148219115
63501	-0.2748004711571066
64001	-0.27479315053143183
64501	-0.27470606087380417
64501	-0.27470606087380417
65001	-0.2748009235126831
65001	-0.2748009235126831
65501	-0.2746434701176422
66001	-0.2745465479985042
66001	-0.2745465479985042
66001	-0.2745465479985042
66501	-0.27444878847389215
66501	-0.27444878847389215
66501	-0.27444878847389215
67001	-0.27434718171776257
67501	-0.27432983497891095
67501	-0.27432983497891095
68001	-0.2742359525658451
68501	-0.2741854970027419
69001	-0.2741022058591376
69001	-0.2741022058591376
69501	-0.2739911848772539
70001	-0.2739834669137633
70501	-0.27396979801771176
71001	-0.2739229129560223
71501	-0.27375945864335105
71501	-0.27375945864335105
71501	-0.27375945864335105
71501	-0.27375945864335105
71501	-0.27375945864335105
71501	-0.27375945864335105
71501	-0.27375945864335105
71501	-0.27375945864335105
71501	-0.27375945864335105
71501	-0.27375945864335105
72001	-0.2736248330025605
72501	-0.27355612552051434
73001	-0.2734228745005171
73501	-0.27338163271898197
74001	-0.2732598587188086
74001	-0.2732598587188086
74001	-0.2732598587188086
74501	-0.2731647320884447
74501	-0.2731647320884447
75001	-0.2731380447175575
75001	-0.2731380447175575
75501	-0.27293361207965594
75501	-0.27293361207965594
75501	-0.27293361207965594
75501	-0.27293361207965594
75501	-0.27293361207965594
75501	-0.27293361207965594
75501	-0.27293361207965594
75501	-0.27293361207965594
75501	-0.27293361207965594
75501	-0.27293361207965594
76001	-0.27288444410257706
76001	-0.27288444410257706
76001	-0.27288444410257706
76001	-0.27288444410257706
76001	-0.27288444410257706
76501	-0.2727632376172254
76501	-0.2727632376172254
77001	-0.2725815883584843
77501	-0.2724860675769906
78001	-0.2723456875229205
78001	-0.2723456875229205
78501	-0.2722013998678568
79001	-0.2720713220741893
79501	-0.2719362546981346
80001	-0.27182642101349636
80501	-0.27167172581911514
80501	-0.27167172581911514
81001	-0.2715532735917346
81501	-0.27146898554458065
81501	-0.27146898554458065
82001	-0.27130690494006765
82501	-0.27124389317900893
83001	-0.2710630650584193
83501	-0.271006589328761
84001	-0.27093447512522606
84001	-0.27093447512522606
84501	-0.2707709663326306
85001	-0.2707735892749696
85501	-0.2706400871754848
85501	-0.2706400871754848
85501	-0.2706400871754848
86001	-0.2706089677607623
86001	-0.2706089677607623
86501	-0.2706062064340429
87001	-0.27050735205132825
87501	-0.27041512541320123
87501	-0.27041512541320123
87501	-0.27041512541320123
87501	-0.27041512541320123
87501	-0.27041512541320123
88001	-0.2703184164425609
88001	-0.2703184164425609
88501	-0.27020208031534093
88501	-0.27020208031534093
88501	-0.27020208031534093
88501	-0.27020208031534093
88501	-0.27020208031534093
88501	-0.27020208031534093
88501	-0.27020208031534093
88501	-0.27020208031534093
88501	-0.27020208031534093
88501	-0.27020208031534093
88501	-0.27020208031534093
88501	-0.27020208031534093
88501	-0.27020208031534093
89001	-0.27007623327922103
89501	-0.2699421422578516
89501	-0.2699421422578516
89501	-0.2699421422578516
89501	-0.2699421422578516
89501	-0.2699421422578516
89501	-0.2699421422578516
89501	-0.2699421422578516
90001	-0.2698077635697486
90501	-0.269670414442508
91001	-0.26956080933803994
91501	-0.26946260462635596
91501	-0.26946260462635596
91501	-0.26946260462635596
92001	-0.2693603591239191
92001	-0.2693603591239191
92501	-0.26926414804512055
93001	-0.2691435520422475
93001	-0.2691435520422475
93501	-0.2689951848837936
93501	-0.2689951848837936
94001	-0.2688377430842266
94001	-0.2688377430842266
94501	-0.2687604463186119
95001	-0.26866473195945295
95501	-0.26861382474123885
96001	-0.26852475840215323
96501	-0.26846176564562835
97001	-0.2684220915743114
97501	-0.2683242600167952
97501	-0.2683242600167952
98001	-0.2682717543281289
98501	-0.26814411451370124
99001	-0.2680740543319071
99501	-0.26791981665781045
