Description	Target	Measure	E11	E10	E01
["""ENSG00000197405""" = 1.0]	[Target]	0.0	0.0	45.0	0.0
["""ENSG00000204873""" = 0.0], ["""ENSG00000177469""" = 1.0]	[Target]	0.0	0.0	40.0	0.0
["""ENSG00000270601""" = 0.0], ["""ENSG00000167207""" = 0.0], ["""ENSG00000165238""" = 0.0], ["""ENSG00000102007""" = 1.0]	[Target]	0.0	0.0	19.0	0.0
["""ENSG00000270601""" = 0.0], ["""ENSG00000102007""" = 1.0]	[Target]	0.0	0.0	45.0	0.0
["""ENSG00000183580""" = 0.0], ["""ENSG00000170279""" = 1.0]	[Target]	0.0	0.0	15.0	0.0
["""ENSG00000169717""" = 0.0], ["""ENSG00000162129""" = 0.0], ["""ENSG00000071189""" = 0.0], ["""ENSG00000169891""" = 0.0]	[Target]	0.0	0.0	91.0	0.0
["""ENSG00000197982""" = 0.0], ["""ENSG00000152082""" = 0.0]	[Target]	0.0	0.0	113.0	0.0
["""ENSG00000134339""" = 0.0], ["""ENSG00000171877""" = 1.0], ["""ENSG00000080644""" = 0.0], ["""ENSG00000258150""" = 0.0], ["""ENSG00000122543""" = 0.0]	[Target]	0.0	0.0	12.0	0.0
["""ENSG00000134339""" = 0.0], ["""ENSG00000122543""" = 0.0]	[Target]	0.0	0.0	102.0	0.0
["""ENSG00000269190""" = 0.0], ["""ENSG00000144290""" = 0.0], ["""ENSG00000203952""" = 1.0]	[Target]	0.0	0.0	38.0	0.0
["""ENSG00000177275""" = 0.0], ["""ENSG00000166123""" = 1.0]	[Target]	0.0	0.0	37.0	0.0
["""ENSG00000155254""" = 1.0], ["""ENSG00000126353""" = 1.0]	[Target]	0.0	0.0	11.0	0.0
["""ENSG00000231924""" = 1.0], ["""ENSG00000163541""" = 1.0]	[Target]	0.0	0.0	10.0	0.0
["""ENSG00000120820""" = 1.0], ["""ENSG00000187824""" = 1.0]	[Target]	0.0	0.0	12.0	0.0
["""ENSG00000234857""" = 0.0], ["""ENSG00000165527""" = 1.0]	[Target]	0.0	0.0	28.0	0.0
["""ENSG00000134207""" = 0.0], ["""ENSG00000103485""" = 0.0], ["""ENSG00000096996""" = 0.0], ["""ENSG00000153902""" = 0.0]	[Target]	0.0	0.0	45.0	0.0
["""ENSG00000096996""" = 0.0], ["""ENSG00000153902""" = 0.0]	[Target]	0.0	0.0	92.0	0.0
["""ENSG00000138768""" = 1.0], ["""ENSG00000275591""" = 1.0]	[Target]	0.0	0.0	12.0	0.0
