#iterations	mean Measure
1	0.0
501	-0.0031978649384649025
1001	-0.003281807476371396
1501	-0.003317599495392591
2001	-0.002670246690919757
2501	-0.002210048091591591
3001	-0.0018969400846016204
3501	-0.001687257753023791
4001	-0.001532964634183453
4001	-0.001532964634183453
4001	-0.001532964634183453
4001	-0.001532964634183453
4001	-0.001532964634183453
4001	-0.001532964634183453
4001	-0.001532964634183453
4001	-0.001532964634183453
4001	-0.001532964634183453
4001	-0.001532964634183453
4001	-0.001532964634183453
4001	-0.001532964634183453
4001	-0.001532964634183453
4501	-0.0014261035950221164
5001	-0.0013258037687009993
5501	-0.0012518583605997142
6001	-0.0011833536312227852
6501	-0.0011322812725095047
6501	-0.0011322812725095047
7001	-0.0010858234713803279
7501	-0.0010492439869207546
8001	-0.0010183721064520972
8501	-9.878473046981647E-4
9001	-9.635987873128162E-4
9501	-9.38353366788447E-4
