Label 	 Pattern 	 Pattern_num 	 P(class|pattern) 	 Supp in class 	 Supp in data 
1	['ENSG00000007968', 'ENSG00000092853', 'ENSG00000085999', 'ENSG00000188610', 'ENSG00000215784', 'ENSG00000196550', 'ENSG00000117724', 'ENSG00000122952', 'ENSG00000170312', 'ENSG00000138160', 'ENSG00000138180', 'ENSG00000121621', 'ENSG00000111206', 'ENSG00000135451', 'ENSG00000161800', 'ENSG00000135476', 'ENSG00000123374', 'ENSG00000185480', 'ENSG00000139734', 'ENSG00000126787', 'ENSG00000156970', 'ENSG00000137812', 'ENSG00000051180', 'ENSG00000137804', 'ENSG00000137807', 'ENSG00000198901', 'ENSG00000177602', 'ENSG00000129195', 'ENSG00000178999', 'ENSG00000076382', 'ENSG00000089685', 'ENSG00000105173', 'ENSG00000115163', 'ENSG00000121152', 'ENSG00000169679', 'ENSG00000169607', 'ENSG00000101003', 'ENSG00000088325', 'ENSG00000101412', 'ENSG00000075218', 'ENSG00000129810', 'ENSG00000163808', 'ENSG00000051341', 'ENSG00000138778', 'ENSG00000164109', 'ENSG00000145386', 'ENSG00000142731', 'ENSG00000071539', 'ENSG00000035499', 'ENSG00000134057', 'ENSG00000113368', 'ENSG00000112984', 'ENSG00000158402', 'ENSG00000072571', 'ENSG00000112242', 'ENSG00000112742', 'ENSG00000006634', 'ENSG00000106462', 'ENSG00000160957', 'ENSG00000090889', 'ENSG00000186871', 'ENSG00000102384']	[305, 485, 639, 1071, 1079, 1747, 1811, 2264, 2276, 2461, 2467, 3083, 4062, 4403, 4419, 4490, 4562, 4810, 5272, 5659, 6099, 6114, 6115, 6131, 6363, 6562, 7520, 7575, 7666, 7824, 8545, 9547, 10489, 10869, 10964, 10979, 11792, 11809, 11843, 12779, 12929, 13051, 13457, 14354, 14412, 14420, 14437, 14643, 14816, 14846, 15044, 15133, 15136, 15378, 15602, 16161, 16942, 17365, 18097, 19249, 19273, 19350]	100.0	7.8652	3.9548
1	['ENSG00000007968', 'ENSG00000137812', 'ENSG00000198901', 'ENSG00000075218', 'ENSG00000051341', 'ENSG00000164109', 'ENSG00000184661']	[305, 6114, 6562, 12779, 13457, 14412, 17597]	100.0	25.8427	12.9944
1	['ENSG00000130695', 'ENSG00000135823', 'ENSG00000162819', 'ENSG00000138303', 'ENSG00000158435', 'ENSG00000163882', 'ENSG00000188312']	[354, 1594, 1837, 2339, 10916, 13795, 18428]	100.0	6.7416	3.3898
1	['ENSG00000180198', 'ENSG00000168496', 'ENSG00000111229', 'ENSG00000100902', 'ENSG00000013306', 'ENSG00000153294', 'ENSG00000135245']	[401, 3349, 4877, 5576, 8165, 16063, 17215]	100.0	3.3708	1.6949
1	['ENSG00000092853', 'ENSG00000183856', 'ENSG00000163808', 'ENSG00000142731', 'ENSG00000171320']	[485, 1349, 13051, 14437, 17612]	100.0	28.0899	14.1243
1	['ENSG00000142945', 'ENSG00000184260', 'ENSG00000255835', 'ENSG00000181938', 'ENSG00000136463', 'ENSG00000130733', 'ENSG00000268193', 'ENSG00000115241', 'ENSG00000169679', 'ENSG00000065518', 'ENSG00000203879']	[608, 1130, 1859, 7169, 8379, 9235, 9478, 10514, 10964, 13452, 19685]	100.0	3.3708	1.6949
1	['ENSG00000142945', 'ENSG00000179284', 'ENSG00000183246', 'ENSG00000135245']	[608, 9320, 12458, 17215]	100.0	4.4944	2.2599
1	['ENSG00000024526', 'ENSG00000184260', 'ENSG00000176393', 'ENSG00000255835', 'ENSG00000035687', 'ENSG00000168496', 'ENSG00000146670', 'ENSG00000111780', 'ENSG00000176894', 'ENSG00000256632', 'ENSG00000167969', 'ENSG00000108344', 'ENSG00000169689', 'ENSG00000161888', 'ENSG00000115163', 'ENSG00000049323', 'ENSG00000169679', 'ENSG00000088325', 'ENSG00000065518', 'ENSG00000180921', 'ENSG00000203499', 'ENSG00000175283']	[781, 1130, 1685, 1859, 1969, 3349, 3458, 4955, 5059, 5060, 6705, 7997, 8612, 9239, 10489, 10556, 10964, 11809, 13452, 18058, 18059, 18708]	100.0	2.2472	1.1299
1	['ENSG00000097046', 'ENSG00000188610', 'ENSG00000263513', 'ENSG00000183856', 'ENSG00000196550', 'ENSG00000065328', 'ENSG00000111206', 'ENSG00000122966', 'ENSG00000139734', 'ENSG00000126787', 'ENSG00000187951', 'ENSG00000157456', 'ENSG00000166851', 'ENSG00000166451', 'ENSG00000176890', 'ENSG00000143977', 'ENSG00000144130', 'ENSG00000169607', 'ENSG00000101447', 'ENSG00000073111', 'ENSG00000013810', 'ENSG00000138778', 'ENSG00000142731', 'ENSG00000164104', 'ENSG00000035499', 'ENSG00000072571', 'ENSG00000106462', 'ENSG00000168078', 'ENSG00000175305', 'ENSG00000102384']	[869, 1071, 1074, 1349, 1747, 2088, 4062, 4944, 5272, 5659, 6053, 6278, 6921, 7358, 8645, 10721, 10978, 10979, 11920, 13512, 13923, 14354, 14437, 14572, 14816, 15378, 17365, 17613, 17870, 19350]	100.0	13.4831	6.7797
1	['ENSG00000116489', 'ENSG00000111652', 'ENSG00000103591', 'ENSG00000123562']	[1008, 4107, 6346, 19391]	100.0	15.7303	7.9096
1	['ENSG00000116793', 'ENSG00000143315', 'ENSG00000116918', 'ENSG00000135387', 'ENSG00000181929', 'ENSG00000165934', 'ENSG00000103591', 'ENSG00000103550', 'ENSG00000103353', 'ENSG00000159202', 'ENSG00000153944', 'ENSG00000204604', 'ENSG00000158435', 'ENSG00000149636', 'ENSG00000272741', 'ENSG00000163964', 'ENSG00000132294', 'ENSG00000186638', 'ENSG00000165209']	[1017, 1417, 1918, 3109, 4394, 5881, 6346, 6874, 6917, 8248, 8314, 10164, 10916, 11894, 13869, 13880, 17992, 18239, 18632]	100.0	3.3708	1.6949
1	['ENSG00000184260']	[1130]	95.24	44.9438	23.7288
1	['ENSG00000184260', 'ENSG00000273088', 'ENSG00000268193', 'ENSG00000115944', 'ENSG00000137261', 'ENSG00000203499']	[1130, 1306, 9478, 10592, 15613, 18059]	100.0	2.2472	1.1299
1	['ENSG00000143390', 'ENSG00000182827', 'ENSG00000167325', 'ENSG00000188501', 'ENSG00000140694', 'ENSG00000159202', 'ENSG00000272741', 'ENSG00000109685', 'ENSG00000150961', 'ENSG00000113194', 'ENSG00000178966']	[1178, 1864, 2857, 6343, 6833, 8248, 13869, 13926, 14405, 15432, 18392]	100.0	6.7416	3.3898
1	['ENSG00000143416', 'ENSG00000130720']	[1179, 18736]	100.0	16.8539	8.4746
1	['ENSG00000143376', 'ENSG00000143633', 'ENSG00000138614', 'ENSG00000171302', 'ENSG00000062598']	[1184, 1913, 6332, 8555, 12002]	100.0	12.3596	6.2147
1	['ENSG00000182134', 'ENSG00000138614', 'ENSG00000204604', 'ENSG00000164244']	[1189, 6332, 10164, 15048]	100.0	17.9775	9.0395
1	['ENSG00000143545']	[1270]	82.22	41.573	25.4237
1	['ENSG00000143319', 'ENSG00000143315', 'ENSG00000138303', 'ENSG00000166797', 'ENSG00000070087', 'ENSG00000130985']	[1357, 1417, 2339, 6303, 13648, 19081]	100.0	6.7416	3.3898
1	['ENSG00000143314', 'ENSG00000160213']	[1359, 12333]	100.0	19.1011	9.6045
1	['ENSG00000085552', 'ENSG00000156110', 'ENSG00000088325']	[1415, 2372, 11809]	100.0	13.4831	6.7797
1	['ENSG00000143315', 'ENSG00000104824', 'ENSG00000113407']	[1417, 9701, 14716]	100.0	20.2247	10.1695
1	['ENSG00000270149']	[1442]	100.0	50.5618	25.4237
1	['ENSG00000094975', 'ENSG00000111652', 'ENSG00000139116', 'ENSG00000103591', 'ENSG00000158435', 'ENSG00000109685', 'ENSG00000178966']	[1547, 4107, 4333, 6346, 10916, 13926, 18392]	100.0	10.1124	5.0847
1	['ENSG00000116161', 'ENSG00000175216', 'ENSG00000161813', 'ENSG00000159202', 'ENSG00000049541', 'ENSG00000104413']	[1563, 3162, 4427, 8248, 16886, 17867]	100.0	14.6067	7.3446
1	['ENSG00000023572']	[1641]	97.56	44.9438	23.1638
